_id,_labels,name,BetweennessCentrality,ClosenessCentrality,DegreeCentrality,EigenCentrality,hitsauth,hitshub,pagerank
76,:Tail,manage party,0,0.6666666666666666,0,0.04299989,0.00658532,0,0.16763085937500002
77,:Tail,budgetary guarantee,0,0.6666666666666666,0,0.04299989,0.003224144,0,0.17014955357142858
78,:Tail,common provisioning fund,0,0.6666666666666666,0,0.04299989,0.003224144,0,0.17014955357142858
79,:Tail,draft budget,0,0.6666666666666666,0,0.04299989,0.003224144,0,0.17014955357142858
80,:Tail,number,0,0.625,0,0.12584263606263196,0.011971374441761187,0,0.20043080357142862
81,:Tail,post,0,0.625,0,0.12584263606263196,0.011971374441761187,0,0.20043080357142862
82,:Tail,amendment updating,0,0.6666666666666666,0,0.04299989,1.2231467051398786E-21,0,0.21056250000000004
83,:Tail,particular expenditure estimate,0,0.6666666666666666,0,0.04299989,1.2231467051398786E-21,0,0.21056250000000004
84,:Tail,agriculture,0,0.6666666666666666,0,0.04299989,1.2231467051398786E-21,0,0.21056250000000004
85,:Tail,time,0,0.75,0,0.085898613,0.005548339,0,0.26679910714285715
86,:Tail,year,0,0.625,0,0.12584263606263196,0.17128853533356211,0,0.24708593750000002
87,:Tail,statement,0,0.6666666666666666,0,0.04299989,2.6534922160532096E-4,0,0.17595535714285715
88,:Tail,reason,0,0.6666666666666666,0,0.04299989,2.6534922160532096E-4,0,0.17595535714285715
89,:Tail,budget implementation,0,0.6666666666666666,0,0.04299989,2.6534922160532096E-4,0,0.17595535714285715
90,:Tail,precede current financial year,0,0.6666666666666666,0,0.04299989,2.6534922160532096E-4,0,0.17595535714285715
91,:Tail,draft amend budget establishment,0,0.6666666666666666,0,0.04299989,2.6534922160532096E-4,0,0.17595535714285715
92,:Tail,consideration,0,0.6666666666666666,0,0.04299989,1.0952128152167015E-4,0,0.20896875
93,:Tail,text,0,0.6666666666666666,0,0.04299989,1.0952128152167015E-4,0,0.20896875
94,:Tail,euratom treaty,0,0.6666666666666666,0,0.04299989,1.0952128152167015E-4,0,0.20896875
